"ID","Site.ID","LAT","LON"
"ATNEU",NA,47.117,11.318
"BRNPW",NA,-16.498,-56.412
"BWGUM",NA,-18.965,22.371
"BWNXR",NA,-19.548,23.179
"CASCB",NA,61.309,-121.298
"CASCC",NA,61.308,-121.299
"CHCHA",NA,47.21,8.41
"CHDAV",NA,46.815,9.856
"CHOE2",NA,47.286,7.734
"CNHGU",NA,32.8,102.55
"DEDGW",NA,53.151,13.054
"DEHTE",NA,54.21,12.176
"DESFN",NA,47.806,11.328
"DEZRK",NA,53.876,12.889
"FIHYY",NA,61.847,24.295
"FILOM",NA,67.997,24.209
"FISI2",NA,61.837,24.197
"FISII",NA,61.833,24.193
"FRLGT",NA,47.323,2.284
"HKMPM",NA,22.498,114.029
"IDPAG",NA,-2.32,113.9
"ITBCI",NA,40.524,14.957
"ITCAS","IT-CAS",45.07,8.718
"JPBBY",NA,43.323,141.811
"JPMSE","JP-MSE.1",36.054,140.027
"JPMSE","JP-MSE.2",36.054,140.027
"JPMSE","JP-MSE.3",36.054,140.027
"JPMSE","JP-MSE.4",36.054,140.027
"JPMSE","JP-MSE.5",36.054,140.027
"JPSWL",NA,36.047,138.108
"KRCRK","KR-CRK",38.201,127.251
"MAERC",NA,27.163,-81.187
"MYMLM",NA,1.464,111.149
"NLHOR",NA,52.24,5.071
"NZKOP",NA,-37.388,175.554
"PHRIF","PH-RIF",14.141,121.265
"RUCH2",NA,68.617,161.351
"RUCHE",NA,68.613,161.341
"RUCOK",NA,70.829,147.494
"RUFY2",NA,56.448,32.902
"RUSAM",NA,72.374,126.496
"RUVRK",NA,67.055,62.94
"SEDEG",NA,64.182,19.557
"SEST1",NA,68.354,19.05
"SESTO",NA,68.356,19.045
"UKLBT",NA,51.522,-0.139
"USA03",NA,70.495,-149.882
"USA10",NA,71.324,-156.615
"USATQ",NA,70.47,-157.409
"USBEO",NA,71.281,-156.612
"USBES",NA,71.281,-156.597
"USBI1",NA,38.099,-121.499
"USBI2",NA,38.109,-121.535
"USBRW",NA,71.323,-156.609
"USBZB",NA,64.696,-148.321
"USBZF",NA,64.704,-148.313
"USBZS",NA,64.696,-148.324
"USCRT",NA,41.628,-83.347
"USDPW",NA,28.052,-81.436
"USEDN",NA,37.616,-122.114
"USEML",NA,63.878,-149.254
"USHO1",NA,45.204,-68.74
"USHRA","US-HRA",34.583,-91.748
"USHRC","US-HRC",34.586,-91.748
"USICS",NA,68.606,-149.311
"USIVO",NA,68.487,-155.75
"USLA1",NA,29.501,-90.445
"USLA2",NA,29.859,-90.287
"USLOS",NA,46.083,-89.979
"USMRM",NA,40.816,-74.044
"USMYB",NA,38.05,-121.765
"USNC4",NA,35.788,-75.904
"USNGB",NA,71.28,-156.609
"USNGC",NA,64.861,-163.701
"USORV",NA,40.02,-83.018
"USOWC",NA,41.38,-82.512
"USPFA",NA,45.946,-90.272
"USSND",NA,38.037,-121.754
"USSNE",NA,38.037,-121.755
"USSRR",NA,38.201,-122.026
"USSTJ",NA,39.088,-75.437
"USTW1",NA,38.107,-121.647
"USTW3",NA,38.116,-121.647
"USTW4",NA,38.103,-121.641
"USTW5",NA,38.107,-121.643
"USTWT","US-TWT",38.106,-121.652
"USUAF",NA,64.866,-147.856
"USWPT",NA,41.465,-82.996
"CHJRS","CH-JRS",31.806831,119.217264
"CHCMC","CH-CMC",31.81043,121.2501
"CHHNY","CH-HNY",28.6725,112.4486
"TAI1.","TARI1.1",24.0304,120.6879
"TAI1.","TARI1.2",24.030988,120.683896
"TAI1.","TARI1.3",24.027021,120.6795
"TAI1.","TARI1.4",24.027369,120.683924
"TAI3.","TARI3.new",23.580732,120.40563
"TAI-1","TARI-1",24.0304,120.6879
"TAI-2","TARI-2",24.03073,120.68733
"TAI-3","TARI-3",23.5817,120.4047
"TAI-4","TARI-4",23.5821,120.4036
"CHNJL","CH-NJL",31.59961,119.18359
"USOF1","US-OF1",35.737066,-90.0492
"USOF2","US-OF2",35.7406,-90.0489
"USF4","USOF4",35.7344,-90.0381
"USF5","USOF5",35.7297,-90.0406
"USF6","USOF6",35.7333,-90.0403
"KRHPK","KR-HPK",34.477223,126.481112
"USBDA","US-BDA.1",35.8089,-90.0327
"USBDA","US-BDA.2",35.806586,-90.030076
"USBDC","US-BDC.1",35.8089,-90.0284
"USBDC","US-BDC.2",35.807432,-90.027335
"INIFS","IN-IFS",28.643839,77.152712
"BACDS","BA-CDS",-30.27710833,-53.14792222
"CHLHP","CH-LHP",40.93139,121.961
"CHSJP","CH-SJP",47.15194,131.9386
"INCRR","IN-CRRI",20.451667,85.94027
"MY","MYM",24.72527,90.42425
"CHYJ.","CH-YJ.1",33.206662,120.277881
"CHYJ.","CH-YJ.2",33.206294,120.280989
"CHYJ.","CH-YJ.3",33.210088,120.285917
"CHYJ.","CH-YJ.4",33.210517,120.281833
"CHPJ","CH-PJ",41.45,122.68
"KRGRK","KR-GRK",35.745328,126.852522
